New Delhi



Residential


Multistorey Apartment

Aashirwaad Chowk
12016,8097,Jul-Sep'13
11692,8115,Oct-Dec'13
11340,7754,Jan-Mar'14
11263,7929,Apr-Jun'14
11412,7814,Jul-Sep'14
11175,7675,Oct-Dec'14
10873,7412,Jan-Mar'15
11074,7424,Apr-Jun'15
10937,7383,Jul-Sep'15
10666,7368,Oct-Dec'15
10570,7432,Jan-Mar'16
10279,7275,Apr-Jun'16
10192,7116,Jul-Sep'16
10318,7247,Oct-Dec'16
10069,6852,Jan-Mar'17

Dwarka Sector 12
4482,4149,Jan-Mar'08
5572,5254,Jan-Mar'09
5330,5247,Jul-Sep'09
5465,5386,Oct-Dec'09
5587,5451,Jan-Mar'10
5883,5703,Apr-Jun'10
6346,6218,Jul-Sep'10
6847,6535,Oct-Dec'10
7198,6777,Jan-Mar'11
7514,7076,Apr-Jun'11
9273,7601,Jul-Sep'11
10129,7916,Oct-Dec'11
10307,6897,Jan-Mar'12
11014,7574,Apr-Jun'12
10331,7582,Jul-Sep'12
10938,7222,Oct-Dec'12
11427,7564,Jan-Mar'13
10899,7577,Apr-Jun'13
10656,7500,Jul-Sep'13
10691,7423,Oct-Dec'13
10629,7482,Jan-Mar'14
10914,7496,Apr-Jun'14
10726,7384,Jul-Sep'14
10658,7201,Oct-Dec'14
10543,7307,Jan-Mar'15
10337,7278,Apr-Jun'15
10083,7021,Jul-Sep'15
9976,6960,Oct-Dec'15
10118,7131,Jan-Mar'16
10036,6995,Apr-Jun'16
9997,6950,Jul-Sep'16
9885,6820,Oct-Dec'16
9261,6673,Jan-Mar'17

Dwarka Sector 13
4024,3711,Jan-Mar'08
5188,4980,Jan-Mar'09
5178,5057,Jul-Sep'09
5242,5121,Oct-Dec'09
5504,5156,Jan-Mar'10
5697,5313,Apr-Jun'10
9192,4465,Jul-Sep'10
6206,5992,Oct-Dec'10
6553,6303,Jan-Mar'11
6694,6411,Apr-Jun'11
7444,6805,Jul-Sep'11
8213,7437,Oct-Dec'11
9212,6971,Jan-Mar'12
9677,7133,Apr-Jun'12
10925,6569,Oct-Dec'12
11569,7612,Jan-Mar'13
11790,7853,Apr-Jun'13
10871,7036,Jul-Sep'13
10032,7259,Oct-Dec'13
10341,7094,Jan-Mar'14
10189,7135,Apr-Jun'14
10569,7383,Jul-Sep'14
9921,7192,Oct-Dec'14
9583,7055,Jan-Mar'15
9770,6935,Apr-Jun'15
9831,6892,Jul-Sep'15
9583,6762,Oct-Dec'15
9588,6799,Jan-Mar'16
9306,6852,Apr-Jun'16
9139,6818,Jul-Sep'16
9139,6524,Oct-Dec'16
8723,6426,Jan-Mar'17

Dwarka Sector 14
5089,4757,Jan-Mar'09
5368,5153,Jul-Sep'09
5474,5259,Oct-Dec'09
5437,5253,Jan-Mar'10
5277,5079,Apr-Jun'10
5520,5164,Jul-Sep'10
5646,5275,Oct-Dec'10
5907,5349,Jan-Mar'11
6598,5852,Apr-Jun'11
11080,7599,Apr-Jun'13
10901,7316,Jul-Sep'13
10951,7033,Oct-Dec'13
10695,7100,Jan-Mar'14
11018,7350,Apr-Jun'14
10904,7128,Jul-Sep'14
11197,6791,Oct-Dec'14
10616,7063,Jan-Mar'15
10180,6829,Apr-Jun'15
10309,6925,Jul-Sep'15
10374,7146,Oct-Dec'15
10296,6294,Jan-Mar'16
9483,5844,Apr-Jun'16
9587,6161,Jul-Sep'16
9364,6557,Oct-Dec'16
9301,6358,Jan-Mar'17

Dwarka Sector 17
4939,4619,Jan-Mar'09
4631,4408,Jul-Sep'09
4754,4586,Oct-Dec'09
5269,4640,Jan-Mar'10
5091,4919,Apr-Jun'10
5230,5020,Jul-Sep'10
5913,5571,Oct-Dec'10
6197,5954,Jan-Mar'11
6478,6147,Apr-Jun'11
9614,6608,Jan-Mar'13
9663,6328,Apr-Jun'13
